id,idioma,anomalia,exemplo,posicao,tamanho,media_utf8
1,pt,standalone_number,11621192,3172,16487,97.842
1,pt,wiki_markup,,0,16487,97.842
2,pt,standalone_number,404359,3150,13449,105.684
2,pt,wiki_markup,,0,13449,105.684
3,pt,standalone_number,197839,1166,5771,94.8021
3,pt,wiki_markup,,0,5771,94.8021
4,pt,wiki_markup,,0,6119,92.4775
5,pt,wiki_markup,,0,9238,95.3507
6,pt,standalone_number,36429,2988,6164,103.7322
6,pt,wiki_markup,,0,6164,103.7322
8,pt,standalone_number,17551844,2443,6672,94.2469
8,pt,wiki_markup,,0,6672,94.2469
9,pt,standalone_number,16271692,4966,5358,98.6446
9,pt,wiki_markup,,0,5358,98.6446
10,pt,wiki_markup,,0,52769,96.4327
11,pt,standalone_number,19391942,948,5525,90.105
11,pt,wiki_markup,,0,5525,90.105
12,pt,wiki_markup,,0,5404,93.015
13,pt,standalone_number,0198207557,21899,22923,94.2988
13,pt,wiki_markup,,0,22923,94.2988
14,pt,excessive_whitespace,    ,6408,7939,96.5952
14,pt,wiki_markup,,0,7939,96.5952
15,pt,url,www.lohmannchemikalien.de,5044,5111,91.4841
15,pt,wiki_markup,,0,5111,91.4841
16,pt,html_tag,<ref>,7374,7783,107.9134
16,pt,url,"www.lingref.com/cpp/acal/38/paper2146.pdf]""",7528,7783,107.9134
16,pt,wiki_markup,,0,7783,107.9134
17,pt,standalone_number,347419,5999,6907,114.0759
17,pt,wiki_markup,,0,6907,114.0759
17,pt,repeated_nonascii,συντήρησιν,6032,6907,114.0759
18,pt,excessive_whitespace,    ,680,5194,91.0233
18,pt,wiki_markup,,0,5194,91.0233
19,pt,standalone_number,17741776,1563,4983,94.2942
19,pt,wiki_markup,,0,4983,94.2942
20,pt,wiki_markup,,0,5154,112.1261
21,pt,wiki_markup,,0,5191,94.628
22,pt,standalone_number,33659,493,5654,118.9059
22,pt,wiki_markup,,0,5654,118.9059
23,pt,wiki_markup,,0,5779,100.2495
24,pt,wiki_markup,,0,5580,93.5875
25,pt,excessive_whitespace,                                          ,9318,18691,101.9195
25,pt,wiki_markup,,0,18691,101.9195
26,pt,standalone_number,18071862,2369,5173,91.9555
26,pt,wiki_markup,,0,5173,91.9555
27,pt,standalone_number,19281929,2686,7146,95.3648
27,pt,wiki_markup,,0,7146,95.3648
28,pt,standalone_number,20072020,9197,17674,96.4874
28,pt,wiki_markup,,0,17674,96.4874
29,pt,wiki_markup,,0,8077,93.8514
30,pt,standalone_number,00040,1902,7273,97.8299
30,pt,wiki_markup,,0,7273,97.8299
31,pt,wiki_markup,,0,5264,95.0836
32,pt,wiki_markup,,0,8963,123.2131
33,pt,standalone_number,201617,8899,14708,106.964
33,pt,wiki_markup,,0,14708,106.964
34,pt,wiki_markup,,0,5367,103.3372
35,pt,standalone_number,15801640,3666,5654,92.8414
35,pt,wiki_markup,,0,5654,92.8414
36,pt,excessive_whitespace,    ,1151,9149,97.1608
36,pt,wiki_markup,,0,9149,97.1608
37,pt,wiki_markup,,0,5330,93.7893
38,pt,wiki_markup,,0,5042,94.6206
39,pt,wiki_markup,,0,5681,91.4698
40,pt,wiki_markup,,0,5161,92.3158
41,pt,standalone_number,19501951,3368,6649,103.9062
41,pt,wiki_markup,,0,6649,103.9062
42,pt,wiki_markup,,0,5311,98.042
43,pt,wiki_markup,,0,5247,104.6139
43,pt,repeated_nonascii,สะบายดี,2983,5247,104.6139
44,pt,standalone_number,19731983,464,4965,105.2318
44,pt,wiki_markup,,0,4965,105.2318
45,pt,standalone_number,198198,3467,10057,209.0238
45,pt,wiki_markup,,0,10057,209.0238
45,pt,repeated_nonascii,太阳照常升起,8105,10057,209.0238
46,pt,wiki_markup,,0,4963,93.7729
47,pt,standalone_number,20072008,6694,13547,93.2113
47,pt,wiki_markup,,0,13547,93.2113
48,pt,standalone_number,16631680,3364,6121,119.223
48,pt,wiki_markup,,0,6121,119.223
49,pt,standalone_number,373447,5492,6601,96.4702
49,pt,wiki_markup,,0,6601,96.4702
50,pt,standalone_number,31792,160,6480,98.8906
50,pt,wiki_markup,,0,6480,98.8906
51,pt,wiki_markup,,0,6339,135.8762
51,pt,repeated_nonascii,אֲדֹנָי,1451,6339,135.8762
52,pt,wiki_markup,,0,5427,96.4579
53,pt,wiki_markup,,0,4963,98.6065
54,pt,standalone_number,17271797,227,6300,91.1529
54,pt,wiki_markup,,0,6300,91.1529
55,pt,standalone_number,0854048677,21659,22083,107.0065
55,pt,wiki_markup,,0,22083,107.0065
55,pt,repeated_nonascii,ἐπιθυμέω,2476,22083,107.0065
56,pt,wiki_markup,,0,8852,93.8722
57,pt,wiki_markup,,0,4993,91.4783
58,pt,wiki_markup,,0,5201,94.8002
58,pt,repeated_nonascii,Ζώπυρος,25,5201,94.8002
59,pt,standalone_number,4752100010,10632,10780,94.3712
59,pt,wiki_markup,,0,10780,94.3712
60,pt,wiki_markup,,0,7951,98.4802
61,pt,wiki_markup,,0,5368,99.321
62,pt,wiki_markup,,0,5729,98.4757
62,pt,repeated_nonascii,Георги,3015,5729,98.4757
63,pt,wiki_markup,,0,6162,91.9995
65,pt,standalone_number,9781315798042,1678,8577,116.3279
65,pt,wiki_markup,,0,8577,116.3279
66,pt,wiki_markup,,0,5333,102.9968
66,pt,repeated_nonascii,Κάλλιππος,1948,5333,102.9968
68,pt,wiki_markup,,0,5841,93.8021
68,pt,repeated_nonascii,کندهار,56,5841,93.8021
69,pt,standalone_number,19011902,2771,8123,146.55
69,pt,wiki_markup,,0,8123,146.55
70,pt,wiki_markup,,0,5772,94.4012
71,pt,wiki_markup,,0,5714,97.2482
72,pt,standalone_number,0308900929,57,5759,107.4369
72,pt,wiki_markup,,0,5759,107.4369
72,pt,repeated_nonascii,Партия,596,5759,107.4369
73,pt,standalone_number,19831987,3791,5126,94.4027
73,pt,wiki_markup,,0,5126,94.4027
74,pt,wiki_markup,,0,5298,99.2654
75,pt,standalone_number,196973,1369,5365,94.1005
75,pt,wiki_markup,,0,5365,94.1005
76,pt,wiki_markup,,0,11962,94.3812
77,pt,wiki_markup,,0,6078,120.5859
78,pt,url,https://www.catalogueoflife.org/data/search?qSomasteroidea&typeEXACT,5330,5513,101.5206
78,pt,wiki_markup,,0,5513,101.5206
79,pt,wiki_markup,,0,5171,105.0669
80,pt,excessive_whitespace,    ,3302,7352,114.5393
80,pt,standalone_number,0194521,70,7352,114.5393
80,pt,wiki_markup,,0,7352,114.5393
81,pt,excessive_whitespace,    ,841,6373,146.1205
81,pt,standalone_number,74000,1123,6373,146.1205
81,pt,wiki_markup,,0,6373,146.1205
82,pt,wiki_markup,,0,5430,96.4643
83,pt,wiki_markup,,0,6777,129.7387
84,pt,wiki_markup,,0,7582,95.4979
85,pt,standalone_number,36556,593,9065,104.321
85,pt,wiki_markup,,0,9065,104.321
86,pt,wiki_markup,,0,7728,94.3278
87,pt,wiki_markup,,0,5461,97.6255
88,pt,wiki_markup,,0,5596,101.109
89,pt,wiki_markup,,0,5630,97.1616
90,pt,wiki_markup,,0,7844,99.0688
91,pt,standalone_number,20072011,2122,5722,91.5507
91,pt,wiki_markup,,0,5722,91.5507
92,pt,wiki_markup,,0,5894,94.4664
93,pt,standalone_number,201819,2403,5452,97.4287
93,pt,wiki_markup,,0,5452,97.4287
94,pt,emoji,♭,6269,23090,95.2197
94,pt,wiki_markup,,0,23090,95.2197
95,pt,wiki_markup,,0,5791,91.5313
96,pt,wiki_markup,,0,11875,99.9755
97,pt,wiki_markup,,0,6880,115.4105
98,pt,url,www.cataniabeachsoccer.it»,627,6029,99.4614
98,pt,wiki_markup,,0,6029,99.4614
99,pt,url,http://www.theplantlist.org/,877,6175,117.2928
99,pt,standalone_number,19862012,1028,6175,117.2928
99,pt,wiki_markup,,0,6175,117.2928
100,pt,standalone_number,37704,1236,4964,91.8477
100,pt,wiki_markup,,0,4964,91.8477
101,pt,wiki_markup,,0,5499,97.9163
102,pt,emoji,🔗,8418,8559,111.5043
102,pt,wiki_markup,,0,8559,111.5043
103,pt,standalone_number,95986,2772,5959,112.3744
103,pt,wiki_markup,,0,5959,112.3744
104,pt,url,http://www.ipati.org/,2928,9313,98.6481
104,pt,standalone_number,19802005,879,9313,98.6481
104,pt,wiki_markup,,0,9313,98.6481
105,pt,standalone_number,02118483,3909,8371,94.8037
105,pt,wiki_markup,,0,8371,94.8037
106,pt,wiki_markup,,0,27970,94.1995
107,pt,wiki_markup,,0,4958,105.4576
108,pt,wiki_markup,,0,5369,97.07
109,pt,excessive_whitespace,    ,2155,7677,94.3195
109,pt,wiki_markup,,0,7677,94.3195
110,pt,standalone_number,85130,3246,7254,94.3124
110,pt,wiki_markup,,0,7254,94.3124
111,pt,wiki_markup,,0,5700,95.0253
112,pt,standalone_number,13518049708430288,23041,24123,114.7781
112,pt,wiki_markup,,0,24123,114.7781
112,pt,repeated_nonascii,Копнена,94,24123,114.7781
113,pt,wiki_markup,,0,9213,98.2478
114,pt,wiki_markup,,0,7821,90.7082
115,pt,standalone_number,18711932,726,8519,101.5649
115,pt,wiki_markup,,0,8519,101.5649
116,pt,standalone_number,192021,2595,5835,94.8605
116,pt,wiki_markup,,0,5835,94.8605
117,pt,standalone_number,101955,1374,5001,136.0222
117,pt,wiki_markup,,0,5001,136.0222
118,pt,standalone_number,197080,13675,14771,93.6943
118,pt,wiki_markup,,0,14771,93.6943
119,pt,standalone_number,737300,1363,5901,108.0456
119,pt,wiki_markup,,0,5901,108.0456
120,pt,wiki_markup,,0,6737,113.2813
121,pt,standalone_number,201314,4848,4960,91.7732
121,pt,wiki_markup,,0,4960,91.7732
122,pt,wiki_markup,,0,5272,118.1354
123,pt,wiki_markup,,0,10764,107.564
124,pt,wiki_markup,,0,7354,102.4236
125,pt,wiki_markup,,0,6750,98.4621
126,pt,wiki_markup,,0,6729,92.5039
127,pt,wiki_markup,,0,6090,113.0105
128,pt,url,http://www.theplantlist.org/,1338,6201,118.3933
128,pt,standalone_number,19862012,1493,6201,118.3933
128,pt,wiki_markup,,0,6201,118.3933
129,pt,wiki_markup,,0,6287,93.8914
130,pt,wiki_markup,,0,6084,98.3702
131,pt,wiki_markup,,0,6279,94.8274
132,pt,standalone_number,186364,7632,16590,97.1085
132,pt,wiki_markup,,0,16590,97.1085
133,pt,standalone_number,38101,4634,5059,93.8059
133,pt,wiki_markup,,0,5059,93.8059
134,pt,standalone_number,201920,1695,7437,116.0441
134,pt,wiki_markup,,0,7437,116.0441
135,pt,wiki_markup,,0,5375,91.9905
136,pt,wiki_markup,,0,7721,97.5437
136,pt,repeated_nonascii,Чукарка,3606,7721,97.5437
137,pt,wiki_markup,,0,5731,96.0234
138,pt,wiki_markup,,0,7166,88.0568
139,pt,wiki_markup,,0,4916,364.8072
139,pt,repeated_nonascii,모스트콘텐츠,2975,4916,364.8072
140,pt,standalone_number,19332009,1656,16901,93.9824
140,pt,wiki_markup,,0,16901,93.9824
141,pt,standalone_number,85130,3689,5154,92.8052
141,pt,wiki_markup,,0,5154,92.8052
142,pt,standalone_number,198586,387,5141,96.5857
142,pt,wiki_markup,,0,5141,96.5857
143,pt,excessive_whitespace,    ,7398,7889,94.4466
143,pt,wiki_markup,,0,7889,94.4466
144,pt,wiki_markup,,0,6368,97.2852
145,pt,standalone_number,19531970,1885,9275,92.3224
145,pt,wiki_markup,,0,9275,92.3224
146,pt,wiki_markup,,0,8241,97.9908
147,pt,standalone_number,0195167295,5469,5696,93.188
147,pt,wiki_markup,,0,5696,93.188
148,pt,wiki_markup,,0,5381,110.6328
149,pt,standalone_number,196870,1800,5020,93.8863
149,pt,wiki_markup,,0,5020,93.8863
150,pt,standalone_number,18361907,3896,5216,96.0853
150,pt,wiki_markup,,0,5216,96.0853
151,pt,standalone_number,10111994,2154,5396,92.9459
151,pt,wiki_markup,,0,5396,92.9459
152,pt,wiki_markup,,0,9137,96.9455
153,pt,standalone_number,9788467716290,3645,7972,96.2834
153,pt,wiki_markup,,0,7972,96.2834
154,pt,url,www.cbkc.org,2619,6285,95.7362
154,pt,excessive_whitespace,    ,3240,6285,95.7362
154,pt,standalone_number,192021,417,6285,95.7362
154,pt,wiki_markup,,0,6285,95.7362
154,pt,repeated_nonascii,Κλάρος,2868,6285,95.7362
155,pt,wiki_markup,,0,5430,96.7114
156,pt,emoji,🔗,2591,7437,119.1143
156,pt,wiki_markup,,0,7437,119.1143
157,pt,wiki_markup,,0,18098,95.9192
158,pt,wiki_markup,,0,11971,102.3082
159,pt,wiki_markup,,0,5683,105.7561
160,pt,wiki_markup,,0,8849,95.3017
161,pt,url,https://www.facebook.com/57gearcapitaolemoscunha,5776,6268,94.4003
161,pt,wiki_markup,,0,6268,94.4003
162,pt,wiki_markup,,0,27812,97.8108
162,pt,repeated_nonascii,κριτικός,18,27812,97.8108
164,pt,wiki_markup,,0,6181,94.7604
165,pt,wiki_markup,,0,4946,96.3344
166,pt,wiki_markup,,0,5922,397.3818
166,pt,repeated_nonascii,和楽器バンド,1386,5922,397.3818
167,pt,wiki_markup,,0,9671,107.8818
168,pt,standalone_number,51460,1006,9434,95.4805
168,pt,wiki_markup,,0,9434,95.4805
169,pt,wiki_markup,,0,5016,91.6108
170,pt,wiki_markup,,0,8276,94.2477
171,pt,standalone_number,186070,5657,36258,98.2954
171,pt,wiki_markup,,0,36258,98.2954
172,pt,wiki_markup,,0,5737,94.9608
173,pt,wiki_markup,,0,4955,94.0745
174,pt,url,http://www.theplantlist.org/,3854,5111,92.9329
174,pt,standalone_number,31976,2490,5111,92.9329
174,pt,wiki_markup,,0,5111,92.9329
175,pt,wiki_markup,,0,8050,93.5419
176,pt,url,www.distritosdeportugal.com».,168,7086,99.2165
176,pt,wiki_markup,,0,7086,99.2165
177,pt,standalone_number,202122,858,5169,96.8828
177,pt,wiki_markup,,0,5169,96.8828
178,pt,wiki_markup,,0,5075,92.7326
179,pt,standalone_number,201415,1797,7361,107.2339
179,pt,wiki_markup,,0,7361,107.2339
180,pt,standalone_number,411001,2022,5977,147.7445
180,pt,wiki_markup,,0,5977,147.7445
181,pt,standalone_number,19081976,243,11204,115.2751
181,pt,wiki_markup,,0,11204,115.2751
182,pt,excessive_whitespace,    ,1858,5100,104.3008
182,pt,wiki_markup,,0,5100,104.3008
183,pt,wiki_markup,,0,4943,99.4829
184,pt,standalone_number,20052009,1780,13070,107.8556
184,pt,wiki_markup,,0,13070,107.8556
185,pt,wiki_markup,,0,6610,95.5729
186,pt,wiki_markup,,0,5473,108.8399
187,pt,standalone_number,8881832623,312,5012,109.6219
187,pt,wiki_markup,,0,5012,109.6219
187,pt,repeated_nonascii,Ἐλειονόμαι,53,5012,109.6219
188,pt,wiki_markup,,0,5940,103.7273
189,pt,wiki_markup,,0,5826,100.6389
190,pt,wiki_markup,,0,37798,94.7346
191,pt,wiki_markup,,0,7397,95.2971
192,pt,url,www.moogiecanazio.com,490,5342,120.3328
192,pt,wiki_markup,,0,5342,120.3328
193,pt,wiki_markup,,0,5942,88.3682
194,pt,wiki_markup,,0,6414,90.9436
195,pt,wiki_markup,,0,5737,94.168
196,pt,wiki_markup,,0,5032,94.316
197,pt,url,https://www.nestle.com/aboutus/management/boardofdirectors/paulbulcke,2036,8015,99.8585
197,pt,wiki_markup,,0,8015,99.8585
198,pt,wiki_markup,,0,11282,95.2375
199,pt,standalone_number,197282,1892,5808,96.009
199,pt,wiki_markup,,0,5808,96.009
199,pt,repeated_nonascii,शारिपुत्र,3921,5808,96.009
200,pt,wiki_markup,,0,5153,95.2672
201,pt,standalone_number,19952000,3238,5865,95.1021
201,pt,wiki_markup,,0,5865,95.1021
202,pt,wiki_markup,,0,5901,95.7807
203,pt,standalone_number,1526623994,4095,6020,100.195
203,pt,wiki_markup,,0,6020,100.195
204,pt,standalone_number,6778446,4661,5144,96.925
204,pt,wiki_markup,,0,5144,96.925
205,pt,wiki_markup,,0,8974,108.3868
206,pt,standalone_number,0333968670,11326,11351,98.206
206,pt,wiki_markup,,0,11351,98.206
207,pt,wiki_markup,,0,5090,98.5106
208,pt,standalone_number,18261929,9067,37435,102.417
208,pt,wiki_markup,,0,37435,102.417
209,pt,wiki_markup,,0,7632,95.9047
210,pt,standalone_number,17451812,1936,5618,100.6931
210,pt,wiki_markup,,0,5618,100.6931
211,pt,wiki_markup,,0,6917,96.2017
212,pt,wiki_markup,,0,5409,99.8268
213,pt,wiki_markup,,0,5590,88.5887
214,pt,wiki_markup,,0,5819,99.2963
215,pt,wiki_markup,,0,7943,92.3121
216,pt,standalone_number,191013,2165,6013,113.5982
216,pt,wiki_markup,,0,6013,113.5982
216,pt,repeated_nonascii,دؤیوشو,709,6013,113.5982
217,pt,wiki_markup,,0,7364,92.8426
218,pt,wiki_markup,,0,10030,95.9642
219,pt,standalone_number,18991956,3021,11289,99.6513
219,pt,wiki_markup,,0,11289,99.6513
219,pt,repeated_nonascii,التركية,2903,11289,99.6513
221,pt,standalone_number,31792,1172,6087,94.231
221,pt,wiki_markup,,0,6087,94.231
222,pt,standalone_number,19041905,12455,29427,94.703
222,pt,wiki_markup,,0,29427,94.703
223,pt,wiki_markup,,0,5640,93.0197
224,pt,wiki_markup,,0,5795,143.6017
225,pt,url,http://www.carmelitas.pt/site/padres/joaquimfernandes.php,15616,20058,102.7156
225,pt,standalone_number,182082,1850,20058,102.7156
225,pt,wiki_markup,,0,20058,102.7156
226,pt,excessive_whitespace,    ,3018,5363,248.8065
226,pt,wiki_markup,,0,5363,248.8065
227,pt,wiki_markup,,0,6185,141.4901
228,pt,standalone_number,9781609087685,4085,6788,95.915
228,pt,wiki_markup,,0,6788,95.915
229,pt,standalone_number,38108,605,5729,94.6972
229,pt,wiki_markup,,0,5729,94.6972
230,pt,wiki_markup,,0,6045,110.5821
230,pt,repeated_nonascii,Эммануилович,3421,6045,110.5821
231,pt,standalone_number,20092010,2102,6528,95.7855
231,pt,wiki_markup,,0,6528,95.7855
232,pt,standalone_number,37055,253,5162,90.191
232,pt,wiki_markup,,0,5162,90.191
233,pt,standalone_number,0521201608,1386,5447,102.9728
233,pt,wiki_markup,,0,5447,102.9728
234,pt,wiki_markup,,0,7128,169.4057
234,pt,repeated_nonascii,中国国际航空航天博览会,4186,7128,169.4057
235,pt,wiki_markup,,0,5593,93.3318
236,pt,wiki_markup,,0,7679,97.75
237,pt,wiki_markup,,0,8160,107.6272
238,pt,wiki_markup,,0,7236,93.6447
239,pt,standalone_number,235961,872,6863,100.8853
239,pt,wiki_markup,,0,6863,100.8853
240,pt,standalone_number,9780778315568,7203,9242,89.6666
240,pt,wiki_markup,,0,9242,89.6666
241,pt,url,http://www.blabbermouth.net/news/hammerfalltoreleaserevolutionalbuminaugust/,1184,5559,102.0898
241,pt,standalone_number,20160304040611,1291,5559,102.0898
241,pt,wiki_markup,,0,5559,102.0898
242,pt,standalone_number,198889,633,6701,99.32
242,pt,wiki_markup,,0,6701,99.32
243,pt,standalone_number,47600000,28473,32680,90.9653
243,pt,wiki_markup,,0,32680,90.9653
244,pt,standalone_number,18961902,270,5288,93.0898
244,pt,wiki_markup,,0,5288,93.0898
245,pt,wiki_markup,,0,5215,100.2313
246,pt,standalone_number,108111,13000,15756,102.0298
246,pt,wiki_markup,,0,15756,102.0298
247,pt,wiki_markup,,0,11812,95.0463
248,pt,standalone_number,9781349561698,6293,12293,97.3383
248,pt,wiki_markup,,0,12293,97.3383
249,pt,standalone_number,19571958,3423,4950,92.0479
249,pt,wiki_markup,,0,4950,92.0479
250,pt,wiki_markup,,0,8513,97.5598
251,pt,standalone_number,9780313279188,4991,5004,88.8597
251,pt,wiki_markup,,0,5004,88.8597
252,pt,wiki_markup,,0,5405,104.7214
253,pt,wiki_markup,,0,5102,93.1568
254,pt,url,"https://www.google.pt/search?site&sourcehp&ei8HvoVbOkN8joUqjBprAC&q""AugustoNeuparth""&oq""AugustoNeuparth""&gs_lmobilegwshp",6860,7109,92.7558
254,pt,standalone_number,16715,7000,7109,92.7558
254,pt,wiki_markup,,0,7109,92.7558
255,pt,wiki_markup,,0,5159,99.3256
255,pt,repeated_nonascii,Живковци,4275,5159,99.3256
256,pt,standalone_number,0789202328,2388,7921,91.9717
256,pt,wiki_markup,,0,7921,91.9717
257,pt,wiki_markup,,0,5816,111.0397
257,pt,repeated_nonascii,الجبهة,4969,5816,111.0397
258,pt,wiki_markup,,0,6719,98.2496
259,pt,wiki_markup,,0,5126,112.7837
260,pt,wiki_markup,,0,5479,96.7507
260,pt,repeated_nonascii,Пальтчик,64,5479,96.7507
261,pt,standalone_number,18312006,2961,4967,187.5746
261,pt,wiki_markup,,0,4967,187.5746
261,pt,repeated_nonascii,𐭩𐭠𐭬𐭠𐭮𐭯,4376,4967,187.5746
262,pt,wiki_markup,,0,5054,98.9913
263,pt,wiki_markup,,0,5519,100.7623
264,pt,html_tag,<http://www.journals.ufrpe.br/index.php/apca/article/download/155/144>,8306,8391,115.3678
264,pt,url,http://www.journals.ufrpe.br/index.php/apca/article/download/155/144>,8307,8391,115.3678
264,pt,wiki_markup,,0,8391,115.3678
265,pt,standalone_number,14851514,100,5637,105.0491
265,pt,wiki_markup,,0,5637,105.0491
266,pt,wiki_markup,,0,7508,92.7973
267,pt,html_tag,<http://www.tropicos.org/Name/8900902>,1875,5053,91.3669
267,pt,url,http://www.tropicos.org/Name/8900902>,1876,5053,91.3669
267,pt,standalone_number,8900902,1905,5053,91.3669
267,pt,wiki_markup,,0,5053,91.3669
268,pt,wiki_markup,,0,7470,95.7972
269,pt,standalone_number,18991900,2875,15196,107.1633
269,pt,wiki_markup,,0,15196,107.1633
270,pt,standalone_number,19881990,1249,5507,95.1173
270,pt,wiki_markup,,0,5507,95.1173
271,pt,standalone_number,9781135100391,9082,9445,112.3838
271,pt,wiki_markup,,0,9445,112.3838
272,pt,standalone_number,195556,2686,4867,96.0269
272,pt,wiki_markup,,0,4867,96.0269
273,pt,wiki_markup,,0,9872,105.1922
274,pt,standalone_number,20052007,1225,5194,90.1588
274,pt,wiki_markup,,0,5194,90.1588
275,pt,wiki_markup,,0,5374,94.9691
276,pt,wiki_markup,,0,5579,93.0584
277,pt,url,http://www.faunaeur.org,1204,6254,92.3451
277,pt,standalone_number,201112,531,6254,92.3451
277,pt,wiki_markup,,0,6254,92.3451
278,pt,wiki_markup,,0,5135,93.0633
279,pt,wiki_markup,,0,5796,94.3744
280,pt,wiki_markup,,0,5150,92.3635
281,pt,wiki_markup,,0,5030,95.9555
281,pt,repeated_nonascii,Сланци,4703,5030,95.9555
282,pt,standalone_number,8501027758,1869,6821,98.9084
282,pt,wiki_markup,,0,6821,98.9084
283,pt,standalone_number,19922019,1932,6164,94.1827
283,pt,wiki_markup,,0,6164,94.1827
284,pt,wiki_markup,,0,4883,93.9586
286,pt,wiki_markup,,0,5350,95.0794
287,pt,wiki_markup,,0,6928,95.7754
288,pt,wiki_markup,,0,4941,97.8035
289,pt,wiki_markup,,0,5302,94.7603
290,pt,standalone_number,19922000,3168,5546,150.1904
290,pt,wiki_markup,,0,5546,150.1904
291,pt,standalone_number,3950130705,5473,5607,95.2285
291,pt,wiki_markup,,0,5607,95.2285
292,pt,standalone_number,9780643067172,3581,4941,99.2724
292,pt,wiki_markup,,0,4941,99.2724
293,pt,standalone_number,9788525063304,1712,6142,111.4782
293,pt,wiki_markup,,0,6142,111.4782
293,pt,repeated_nonascii,ἀράχνη,2699,6142,111.4782
294,pt,wiki_markup,,0,5164,106.9303
295,pt,standalone_number,136784,2062,9004,105.8215
295,pt,wiki_markup,,0,9004,105.8215
295,pt,repeated_nonascii,γουλάς,4025,9004,105.8215
296,pt,standalone_number,19901997,930,5005,91.829
296,pt,wiki_markup,,0,5005,91.829
297,pt,wiki_markup,,0,10128,103.7737
298,pt,url,www.qca.ibilce.unesp.br»,3774,5459,101.9766
298,pt,wiki_markup,,0,5459,101.9766
300,pt,standalone_number,120160,4588,5005,110.2138
300,pt,wiki_markup,,0,5005,110.2138
300,pt,repeated_nonascii,χελάνδιον,2507,5005,110.2138
301,pt,wiki_markup,,0,12676,93.8672
302,pt,standalone_number,19391945,760,6353,102.9054
302,pt,wiki_markup,,0,6353,102.9054
302,pt,repeated_nonascii,Αλέξανδρος,3108,6353,102.9054
303,pt,url,http://www.faunaeur.org,403,4978,92.4532
303,pt,wiki_markup,,0,4978,92.4532
304,pt,html_tag,<http://www.tropicos.org/Name/27102042>,6291,7292,94.3051
304,pt,url,www.azoresbioportal.angra.uac.pt,6156,7292,94.3051
304,pt,standalone_number,27102042,6321,7292,94.3051
304,pt,wiki_markup,,0,7292,94.3051
305,pt,wiki_markup,,0,6445,252.2686
306,pt,wiki_markup,,0,5347,98.8156
306,pt,repeated_nonascii,Ранкова,4937,5347,98.8156
307,pt,wiki_markup,,0,5251,103.5858
308,pt,wiki_markup,,0,5025,96.5809
309,pt,url,http://www.faunaeur.org,3705,5154,93.0272
309,pt,wiki_markup,,0,5154,93.0272
310,pt,wiki_markup,,0,5864,92.9896
311,pt,standalone_number,19321933,6616,9090,116.0165
311,pt,wiki_markup,,0,9090,116.0165
312,pt,url,http://www.theplantlist.org/,4848,5619,165.2385
312,pt,standalone_number,19862012,5006,5619,165.2385
312,pt,wiki_markup,,0,5619,165.2385
312,pt,repeated_nonascii,バンドライブツアー,3717,5619,165.2385
313,pt,wiki_markup,,0,7695,106.0112
313,pt,repeated_nonascii,عابدین‎,41,7695,106.0112
314,pt,wiki_markup,,0,5041,98.7907
314,pt,repeated_nonascii,Христос,4506,5041,98.7907
315,pt,url,http://132.236.163.181/index.html?/DiversityOfLife.org,532,7421,99.5404
315,pt,standalone_number,5001286,6597,7421,99.5404
315,pt,wiki_markup,,0,7421,99.5404
316,pt,standalone_number,20102012,3291,22195,111.5087
316,pt,wiki_markup,,0,22195,111.5087
317,pt,wiki_markup,,0,6517,94.6879
318,pt,standalone_number,190411,1784,10311,99.3942
318,pt,wiki_markup,,0,10311,99.3942
319,pt,standalone_number,20102011,12851,13039,104.103
319,pt,wiki_markup,,0,13039,104.103
319,pt,repeated_nonascii,ٱلشَّرْقُ,87,13039,104.103
320,pt,standalone_number,20132014,3568,6567,105.6225
320,pt,wiki_markup,,0,6567,105.6225
321,pt,standalone_number,0851778151,17630,19942,94.7832
321,pt,wiki_markup,,0,19942,94.7832
322,pt,html_tag,<http://www.tropicos.org/Name/4101975>,848,4954,96.9948
322,pt,url,http://www.tropicos.org/Name/4101975>,849,4954,96.9948
322,pt,standalone_number,4101975,878,4954,96.9948
322,pt,wiki_markup,,0,4954,96.9948
323,pt,standalone_number,6002000,1457,6409,94.3512
323,pt,wiki_markup,,0,6409,94.3512
323,pt,repeated_nonascii,Драгушица,2943,6409,94.3512
324,pt,standalone_number,9884809,1729,5483,100.557
324,pt,wiki_markup,,0,5483,100.557
324,pt,repeated_nonascii,القرنة,1307,5483,100.557
325,pt,wiki_markup,,0,8424,96.6519
326,pt,wiki_markup,,0,5042,120.2257
327,pt,wiki_markup,,0,6754,95.8368
328,pt,wiki_markup,,0,10608,95.044
329,pt,excessive_whitespace,     ,1398,5584,105.4382
329,pt,wiki_markup,,0,5584,105.4382
330,pt,standalone_number,0198507127,471,5757,99.3312
330,pt,wiki_markup,,0,5757,99.3312
330,pt,repeated_nonascii,Влади́мир,1379,5757,99.3312
331,pt,standalone_number,11121185,4429,5301,93.7655
331,pt,wiki_markup,,0,5301,93.7655
332,pt,standalone_number,19391940,5621,8159,96.5108
332,pt,wiki_markup,,0,8159,96.5108
333,pt,wiki_markup,,0,6102,153.6503
334,pt,standalone_number,20472056,5590,5847,94.4123
334,pt,wiki_markup,,0,5847,94.4123
335,pt,standalone_number,20132014,2135,6973,91.9818
335,pt,wiki_markup,,0,6973,91.9818
336,pt,wiki_markup,,0,7037,93.9197
